user_id,city,job_type,income,expenses,savings,loan_amount,txn_frequency,digital_ratio,income_volatility,late_night_ratio,default
1,Durg,Shop Owner,29097.64,27910.31,1187.33,8265,124,0.78,0.48,0.1,1
2,Korba,Freelancer,11759.39,7061.13,4698.26,7051,70,0.85,0.39,0.18,0
3,Raipur,Auto Driver,12523.46,9709.27,2814.19,2189,100,0.75,0.34,0.29,1
4,Raipur,Street Vendor,8943.97,5715.47,3228.5,12627,138,0.99,0.34,0.24,0
5,Bilaspur,Street Vendor,9554.71,9649.86,-95.15,17787,57,0.61,0.19,0.27,1
6,Bilaspur,Freelancer,11224.08,8134.82,3089.26,9989,195,0.91,0.4,0.28,1
7,Bilaspur,Freelancer,12025.83,12607.78,-581.95,19262,102,0.83,0.48,0.29,1
8,Durg,Auto Driver,12983.3,7911.79,5071.51,4568,137,0.76,0.22,0.09,0
9,Bilaspur,Street Vendor,18024.58,17368.05,656.53,5561,90,0.97,0.38,0.26,1
10,Durg,Delivery Partner,26184.67,20819.69,5364.98,12965,84,0.79,0.13,0.04,0
11,Durg,Delivery Partner,29881.05,26781.7,3099.34,2206,64,0.64,0.32,0.13,0
12,Durg,Auto Driver,18886.35,12910.69,5975.66,8374,192,0.9,0.33,0.07,0
13,Bilaspur,Auto Driver,30638.33,23817.63,6820.7,13252,183,0.78,0.45,0.07,1
14,Durg,Delivery Partner,34774.68,27499.89,7274.79,3306,170,0.93,0.42,0.26,1
15,Raipur,Freelancer,24662.57,19793.42,4869.15,3998,108,0.73,0.19,0.16,0
16,Raipur,Auto Driver,27780.04,20782.96,6997.08,13649,180,0.72,0.13,0.09,0
17,Bilaspur,Auto Driver,9591.77,7740.97,1850.8,15949,179,0.81,0.26,0.13,0
18,Raipur,Freelancer,21178.36,17380.44,3797.92,9777,188,0.93,0.2,0.24,0
19,Bilaspur,Freelancer,24068.89,22974.61,1094.27,16243,196,0.88,0.17,0.24,0
20,Bhilai,Auto Driver,15257.86,17730.22,-2472.35,6736,60,0.74,0.38,0.03,1
21,Bilaspur,Shop Owner,30337.59,28308.63,2028.96,13835,162,0.7,0.36,0.03,0
22,Raipur,Freelancer,19737.46,15145.0,4592.46,11874,97,0.94,0.45,0.26,1
23,Korba,Street Vendor,26523.5,26560.45,-36.95,17586,161,0.64,0.47,0.2,1
24,Bilaspur,Auto Driver,22065.06,19175.74,2889.32,19340,117,0.69,0.22,0.1,0
25,Korba,Auto Driver,29428.49,26641.27,2787.22,14757,168,0.7,0.22,0.18,0
26,Raipur,Delivery Partner,17543.73,14211.25,3332.48,9022,110,0.8,0.46,0.17,1
27,Durg,Freelancer,37213.26,30592.85,6620.42,3060,73,0.73,0.48,0.17,1
28,Bhilai,Auto Driver,27981.52,19994.1,7987.42,19568,116,0.67,0.13,0.17,0
29,Raipur,Delivery Partner,9156.7,9181.29,-24.6,5009,176,0.81,0.13,0.26,1
30,Bilaspur,Street Vendor,13894.05,10783.94,3110.11,18921,148,0.7,0.38,0.18,0
31,Bilaspur,Street Vendor,32236.05,31912.99,323.06,8655,193,0.62,0.3,0.27,1
32,Raipur,Freelancer,23122.18,18425.87,4696.31,18958,174,0.94,0.28,0.26,1
33,Korba,Freelancer,11244.17,7603.72,3640.45,17328,57,0.91,0.43,0.06,1
34,Bhilai,Auto Driver,29474.37,27245.55,2228.82,8966,101,0.65,0.12,0.29,1
35,Korba,Delivery Partner,28130.62,29436.6,-1305.98,10308,111,0.93,0.26,0.21,1
36,Raipur,Shop Owner,8593.01,6392.1,2200.91,7237,97,0.67,0.47,0.28,1
37,Raipur,Shop Owner,27125.73,28157.14,-1031.42,10130,125,0.83,0.36,0.05,1
38,Korba,Street Vendor,15538.83,17299.01,-1760.18,13151,134,0.79,0.12,0.05,1
39,Bilaspur,Street Vendor,14963.69,12341.57,2622.12,13922,145,0.94,0.35,0.2,0
40,Durg,Shop Owner,31513.47,29789.19,1724.27,8833,173,0.65,0.33,0.24,0
41,Durg,Street Vendor,16528.82,18895.92,-2367.1,12636,61,0.64,0.25,0.01,1
42,Bilaspur,Street Vendor,10818.71,8992.92,1825.79,17305,139,0.74,0.23,0.08,0
43,Raipur,Auto Driver,17393.21,18107.08,-713.86,13657,150,0.9,0.35,0.24,1
44,Raipur,Auto Driver,26313.1,24953.41,1359.69,9357,86,0.7,0.15,0.2,0
45,Bilaspur,Freelancer,29857.99,26810.59,3047.4,2728,135,0.72,0.25,0.03,0
46,Raipur,Freelancer,13438.78,15778.21,-2339.43,7486,193,0.78,0.44,0.09,1
47,Bhilai,Shop Owner,22289.77,23822.8,-1533.04,3062,158,0.97,0.19,0.29,1
48,Korba,Street Vendor,15081.55,17814.19,-2732.64,17368,123,0.93,0.32,0.26,1
49,Raipur,Shop Owner,27179.44,20111.07,7068.37,15807,158,0.75,0.16,0.24,0
50,Bilaspur,Freelancer,10984.43,9081.85,1902.59,17485,190,0.76,0.38,0.17,0
51,Korba,Street Vendor,25541.71,25761.97,-220.26,16683,162,0.63,0.43,0.16,1
52,Raipur,Delivery Partner,12266.66,9734.97,2531.69,13003,196,0.99,0.49,0.16,1
53,Bhilai,Freelancer,16592.07,16893.3,-301.23,5330,193,0.89,0.22,0.27,1
54,Raipur,Freelancer,7325.66,7238.55,87.11,5719,109,0.83,0.23,0.02,0
55,Bhilai,Auto Driver,20749.93,15933.0,4816.93,4779,190,0.96,0.28,0.25,0
56,Bhilai,Delivery Partner,31506.46,20468.14,11038.32,7124,168,0.76,0.33,0.23,0
57,Bilaspur,Delivery Partner,14216.58,13384.19,832.4,12344,148,0.65,0.26,0.0,0
58,Raipur,Auto Driver,18847.35,20004.43,-1157.08,12916,132,0.7,0.5,0.14,1
59,Bhilai,Street Vendor,23743.48,23815.2,-71.72,12015,83,0.74,0.34,0.03,1
60,Raipur,Shop Owner,15304.39,16679.2,-1374.82,10427,182,0.64,0.43,0.24,1
61,Durg,Auto Driver,18250.67,20840.27,-2589.6,15051,87,0.84,0.36,0.19,1
62,Bilaspur,Street Vendor,18330.92,19617.6,-1286.68,6637,155,0.94,0.24,0.28,1
63,Durg,Auto Driver,23857.87,20887.12,2970.75,9941,102,0.74,0.3,0.06,0
64,Bilaspur,Delivery Partner,25629.66,24370.21,1259.45,8090,167,0.88,0.31,0.05,0
65,Bhilai,Shop Owner,28820.45,20272.07,8548.38,13314,196,0.93,0.29,0.1,0
66,Bhilai,Delivery Partner,22193.66,18056.65,4137.01,12160,127,0.73,0.32,0.1,0
67,Durg,Shop Owner,13355.79,9271.41,4084.38,6432,75,0.95,0.38,0.03,0
68,Durg,Auto Driver,8238.22,7998.92,239.3,10150,127,0.79,0.25,0.22,0
69,Raipur,Shop Owner,16515.64,17337.62,-821.98,3531,67,0.78,0.37,0.16,1
70,Raipur,Freelancer,17564.8,12767.3,4797.49,18509,93,0.69,0.11,0.1,0
71,Durg,Street Vendor,15540.85,10135.0,5405.85,16369,160,0.9,0.42,0.13,1
72,Raipur,Shop Owner,12438.82,11997.66,441.17,12167,108,0.99,0.23,0.18,0
73,Durg,Auto Driver,25960.27,28828.63,-2868.36,12589,144,0.62,0.25,0.25,1
74,Raipur,Auto Driver,13288.85,8866.63,4422.22,10659,124,0.95,0.26,0.25,0
75,Bilaspur,Delivery Partner,13928.09,12339.89,1588.2,8469,167,0.88,0.39,0.06,0
76,Durg,Auto Driver,14744.15,11399.86,3344.29,3828,175,0.66,0.15,0.14,0
77,Raipur,Shop Owner,27490.76,25543.37,1947.39,11865,179,0.73,0.25,0.24,0
