user_id,city,job_type,income,expenses,savings,income_volatility,digital_ratio,txn_frequency,late_night_ratio,loan_amount,default
1,Bhilai,Shop Owner,28195.6,20353.24,5793.4,0.08,0.57,280,0.02,140000.0,1
2,Korba,Auto Driver,16808.09,8159.53,6050.15,0.1,0.76,122,0.16,31000.0,0
3,Bilaspur,Delivery Partner,20722.17,9959.85,10780.44,0.21,0.7,114,0.53,30000.0,0
4,Durg,Shop Owner,40070.24,35828.6,5408.68,0.11,0.59,178,0.03,68000.0,1
5,Raipur,Freelancer,20940.11,12817.22,3485.7,0.72,0.82,27,0.6,79000.0,1
6,Raipur,Shop Owner,14481.1,13450.53,1006.51,0.05,0.68,116,0.07,68000.0,0
7,Raipur,Street Vendor,11059.3,8496.53,2107.8,0.33,0.63,120,0.05,26000.0,0
8,Bilaspur,Auto Driver,14732.38,9991.74,5983.49,0.44,0.72,48,0.07,27000.0,0
9,Durg,Shop Owner,13495.41,9406.82,2985.4,0.2,0.5,229,0.07,23000.0,0
10,Bilaspur,Delivery Partner,14578.37,10395.59,1894.53,0.44,0.96,147,0.39,22000.0,1
11,Raipur,Delivery Partner,23472.64,15599.01,6202.37,0.33,0.93,73,0.47,91000.0,1
12,Korba,Auto Driver,17101.75,12634.36,2431.24,0.27,0.59,117,0.19,32000.0,1
13,Bilaspur,Auto Driver,16597.72,7684.78,5322.97,0.37,0.42,98,0.19,81000.0,1
14,Raipur,Delivery Partner,19771.04,11629.86,9764.54,0.4,0.87,197,0.49,89000.0,0
15,Raipur,Delivery Partner,28357.78,19436.84,7695.79,0.45,0.81,208,0.3,95000.0,1
16,Raipur,Street Vendor,12126.84,8123.3,4876.74,0.32,0.37,133,0.12,47000.0,1
17,Bhilai,Shop Owner,30835.23,23744.41,5197.81,0.27,0.83,228,0.02,111000.0,0
18,Durg,Street Vendor,14719.67,8716.66,6255.22,0.18,0.66,134,0.11,73000.0,1
19,Bhilai,Freelancer,31870.49,13533.33,20435.23,0.65,0.98,31,0.33,47000.0,0
20,Raipur,Delivery Partner,21711.24,10331.46,4930.55,0.42,0.98,157,0.45,99000.0,1
21,Durg,Delivery Partner,25472.98,12486.79,15938.61,0.38,0.95,170,0.36,94000.0,0
22,Raipur,Delivery Partner,22450.89,9081.56,5812.34,0.48,0.84,145,0.31,72000.0,1
23,Raipur,Delivery Partner,15658.18,10574.17,2110.9,0.4,0.9,113,0.54,42000.0,0
24,Bhilai,Shop Owner,32170.82,20120.93,13307.4,0.05,0.61,214,0.06,160000.0,1
25,Bhilai,Freelancer,24527.65,11649.94,8373.42,0.7,0.84,33,0.71,105000.0,0
26,Bilaspur,Delivery Partner,15845.01,8991.29,5547.59,0.48,0.99,180,0.51,17000.0,1
27,Raipur,Auto Driver,16277.65,9179.38,4559.96,0.19,0.72,115,0.16,19000.0,0
28,Durg,Auto Driver,18493.32,13155.72,5712.62,0.22,0.46,121,0.22,75000.0,0
29,Durg,Delivery Partner,21890.91,13410.85,6502.21,0.45,0.98,196,0.3,69000.0,0
